scenario,timestamp,phase,round,endpoint,label,method,url,ok,status,latencyMs,error
"backend-pause","2026-04-18T05:47:03.060Z","baseline","1","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","25",""
"backend-pause","2026-04-18T05:47:03.060Z","baseline","1","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","13",""
"backend-pause","2026-04-18T05:47:03.061Z","baseline","1","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","12",""
"backend-pause","2026-04-18T05:47:03.061Z","baseline","1","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","12",""
"backend-pause","2026-04-18T05:47:03.062Z","baseline","1","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","13",""
"backend-pause","2026-04-18T05:47:03.212Z","baseline","1","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","163",""
"backend-pause","2026-04-18T05:47:03.212Z","baseline","1","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","162",""
"backend-pause","2026-04-18T05:47:05.037Z","baseline","2","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","2",""
"backend-pause","2026-04-18T05:47:05.038Z","baseline","2","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","3",""
"backend-pause","2026-04-18T05:47:05.038Z","baseline","2","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","2",""
"backend-pause","2026-04-18T05:47:05.214Z","baseline","2","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","177",""
"backend-pause","2026-04-18T05:47:05.040Z","baseline","2","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","4",""
"backend-pause","2026-04-18T05:47:05.216Z","baseline","2","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","180",""
"backend-pause","2026-04-18T05:47:05.217Z","baseline","2","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","181",""
"backend-pause","2026-04-18T05:47:07.037Z","baseline","3","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
