scenario,timestamp,phase,round,endpoint,label,method,url,ok,status,latencyMs,error
"cpu-throttle","2026-04-18T05:49:29.383Z","baseline","1","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:49:29.384Z","baseline","1","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"cpu-throttle","2026-04-18T05:49:29.384Z","baseline","1","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","2",""
"cpu-throttle","2026-04-18T05:49:29.386Z","baseline","1","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","4",""
"cpu-throttle","2026-04-18T05:49:29.387Z","baseline","1","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","5",""
"cpu-throttle","2026-04-18T05:49:29.515Z","baseline","1","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","133",""
"cpu-throttle","2026-04-18T05:49:29.515Z","baseline","1","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","133",""
"cpu-throttle","2026-04-18T05:49:31.382Z","baseline","2","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:49:31.382Z","baseline","2","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"cpu-throttle","2026-04-18T05:49:31.382Z","baseline","2","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","1",""
"cpu-throttle","2026-04-18T05:49:31.508Z","baseline","2","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","127",""
"cpu-throttle","2026-04-18T05:49:31.384Z","baseline","2","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","3",""
"cpu-throttle","2026-04-18T05:49:31.510Z","baseline","2","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","129",""
"cpu-throttle","2026-04-18T05:49:31.510Z","baseline","2","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","129",""
"cpu-throttle","2026-04-18T05:49:33.382Z","baseline","3","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:49:33.383Z","baseline","3","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"cpu-throttle","2026-04-18T05:49:33.383Z","baseline","3","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","0",""
"cpu-throttle","2026-04-18T05:49:33.386Z","baseline","3","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","4",""
"cpu-throttle","2026-04-18T05:49:33.386Z","baseline","3","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","4",""
"cpu-throttle","2026-04-18T05:49:33.513Z","baseline","3","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","131",""
"cpu-throttle","2026-04-18T05:49:33.513Z","baseline","3","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","131",""
"cpu-throttle","2026-04-18T05:49:35.383Z","baseline","4","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:49:35.384Z","baseline","4","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","2",""
"cpu-throttle","2026-04-18T05:49:35.384Z","baseline","4","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","2",""
"cpu-throttle","2026-04-18T05:49:35.387Z","baseline","4","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","5",""
"cpu-throttle","2026-04-18T05:49:35.388Z","baseline","4","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","6",""
"cpu-throttle","2026-04-18T05:49:35.516Z","baseline","4","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","134",""
"cpu-throttle","2026-04-18T05:49:35.515Z","baseline","4","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","132",""
"cpu-throttle","2026-04-18T05:49:37.383Z","baseline","5","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","0",""
"cpu-throttle","2026-04-18T05:49:37.385Z","baseline","5","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"cpu-throttle","2026-04-18T05:49:37.384Z","baseline","5","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","1",""
"cpu-throttle","2026-04-18T05:49:37.388Z","baseline","5","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","5",""
"cpu-throttle","2026-04-18T05:49:37.386Z","baseline","5","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","3",""
"cpu-throttle","2026-04-18T05:49:37.516Z","baseline","5","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","133",""
"cpu-throttle","2026-04-18T05:49:37.516Z","baseline","5","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","133",""
"cpu-throttle","2026-04-18T05:49:39.397Z","fault","6","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:49:39.397Z","fault","6","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"cpu-throttle","2026-04-18T05:49:39.397Z","fault","6","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","1",""
"cpu-throttle","2026-04-18T05:49:39.400Z","fault","6","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","4",""
"cpu-throttle","2026-04-18T05:49:39.401Z","fault","6","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","5",""
"cpu-throttle","2026-04-18T05:49:39.516Z","fault","6","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","120",""
"cpu-throttle","2026-04-18T05:49:39.515Z","fault","6","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","119",""
"cpu-throttle","2026-04-18T05:49:41.398Z","fault","7","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:49:41.412Z","fault","7","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","15",""
"cpu-throttle","2026-04-18T05:49:41.412Z","fault","7","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","15",""
