scenario,timestamp,phase,round,endpoint,label,method,url,ok,status,latencyMs,error
"mongodb-restart","2026-04-18T05:48:03.212Z","baseline","1","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:03.212Z","baseline","1","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:03.212Z","baseline","1","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","1",""
"mongodb-restart","2026-04-18T05:48:03.216Z","baseline","1","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","5",""
"mongodb-restart","2026-04-18T05:48:03.217Z","baseline","1","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","6",""
"mongodb-restart","2026-04-18T05:48:03.407Z","baseline","1","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","196",""
"mongodb-restart","2026-04-18T05:48:03.408Z","baseline","1","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","197",""
"mongodb-restart","2026-04-18T05:48:05.212Z","baseline","2","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:05.212Z","baseline","2","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:05.212Z","baseline","2","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","1",""
"mongodb-restart","2026-04-18T05:48:05.215Z","baseline","2","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","4",""
"mongodb-restart","2026-04-18T05:48:05.216Z","baseline","2","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","5",""
"mongodb-restart","2026-04-18T05:48:05.406Z","baseline","2","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","195",""
"mongodb-restart","2026-04-18T05:48:05.406Z","baseline","2","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","195",""
"mongodb-restart","2026-04-18T05:48:07.214Z","baseline","3","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:07.215Z","baseline","3","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","2",""
"mongodb-restart","2026-04-18T05:48:07.215Z","baseline","3","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","2",""
"mongodb-restart","2026-04-18T05:48:07.218Z","baseline","3","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","4",""
"mongodb-restart","2026-04-18T05:48:07.218Z","baseline","3","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","4",""
"mongodb-restart","2026-04-18T05:48:07.402Z","baseline","3","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","188",""
"mongodb-restart","2026-04-18T05:48:07.402Z","baseline","3","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","187",""
"mongodb-restart","2026-04-18T05:48:09.214Z","baseline","4","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:09.215Z","baseline","4","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:09.215Z","baseline","4","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","1",""
"mongodb-restart","2026-04-18T05:48:09.218Z","baseline","4","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","4",""
"mongodb-restart","2026-04-18T05:48:09.219Z","baseline","4","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","5",""
"mongodb-restart","2026-04-18T05:48:09.410Z","baseline","4","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","196",""
"mongodb-restart","2026-04-18T05:48:09.410Z","baseline","4","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","196",""
"mongodb-restart","2026-04-18T05:48:11.216Z","baseline","5","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:11.216Z","baseline","5","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:11.216Z","baseline","5","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","1",""
"mongodb-restart","2026-04-18T05:48:11.219Z","baseline","5","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","4",""
"mongodb-restart","2026-04-18T05:48:11.220Z","baseline","5","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","5",""
"mongodb-restart","2026-04-18T05:48:11.405Z","baseline","5","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","190",""
"mongodb-restart","2026-04-18T05:48:11.404Z","baseline","5","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","189",""
"mongodb-restart","2026-04-18T05:48:13.217Z","fault","6","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","2",""
"mongodb-restart","2026-04-18T05:48:13.217Z","fault","6","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:13.217Z","fault","6","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","1",""
"mongodb-restart","2026-04-18T05:48:13.221Z","fault","6","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","5",""
"mongodb-restart","2026-04-18T05:48:13.221Z","fault","6","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","5",""
"mongodb-restart","2026-04-18T05:48:13.409Z","fault","6","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","193",""
"mongodb-restart","2026-04-18T05:48:14.716Z","fault","6","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:15.216Z","fault","7","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","2",""
"mongodb-restart","2026-04-18T05:48:15.216Z","fault","7","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:15.216Z","fault","7","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:16.716Z","fault","7","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:16.716Z","fault","7","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:16.716Z","fault","7","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:16.716Z","fault","7","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:17.215Z","fault","8","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:17.215Z","fault","8","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:17.215Z","fault","8","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:18.714Z","fault","8","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:18.714Z","fault","8","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:18.714Z","fault","8","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:18.714Z","fault","8","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:19.215Z","fault","9","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:19.216Z","fault","9","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:19.216Z","fault","9","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:20.715Z","fault","9","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:20.716Z","fault","9","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:20.716Z","fault","9","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1501","This operation was aborted"
